School,City State,State,State_abrv,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,Lat,Long,,,,
Grambling,Grambling Louisiana,Louisiana,LA,1978,2023,46,1292,490,802,0.379,-16.82,-9.18,0,3,0,0,0,0,30.39183,-92.329102,,,,
Grinnell Pioneers,Grinnell Iowa,Iowa,IA,1901,1939,38,550,280,270,0.509,,,0,0,0,0,0,0,42.032974,-93.581543,,,,
Hamline,St. Paul Minnesota,Minnesota,MN,1945,1948,4,102,82,20,0.804,,,0,0,0,0,0,0,46.39241,-94.63623,,,,
High Point,High Point North Carolina,North Carolina,NC,2000,2023,24,703,334,369,0.475,-8.82,-6.07,0,4,0,0,0,0,35.782169,-80.793457,,,,
Incarnate Word,San Antonio Texas,Texas,TX,2014,2023,10,268,110,158,0.41,-13.69,-6.17,0,0,0,0,0,0,31,-100,,,,
John Carroll Blue Streaks,University Heights Ohio,Ohio,OH,1948,1955,8,191,80,111,0.419,-9.27,-0.2,0,0,0,0,0,0,40.367474,-82.996216,,,,
Kansas City,Kansas City Missouri,Missouri,MO,1990,2023,34,987,425,562,0.431,-6.7,-3.05,0,0,0,0,0,0,38.573936,-92.60376,,,,
Kennesaw State,Kennesaw Georgia,Georgia,GA,2010,2023,14,405,108,297,0.267,-12.66,-3.04,0,0,0,0,0,0,33.247875,-83.441162,,,,
Kentucky Wesleyan Panthers,Owensboro Kentucky,Kentucky,KY,1957,1958,2,52,30,22,0.577,-4.61,-2.27,0,0,0,0,0,0,37.839333,-84.27002,,,,
Lawrence,Appleton Wisconsin,Wisconsin,WI,1948,1948,1,28,22,6,0.786,,,0,0,0,0,0,0,44.5,-89.5,,,,
Lindenwood,St. Charles Missouri,Missouri,MO,2023,2023,1,10,4,6,0.4,-13.04,-2.04,0,0,0,0,0,0,38.573936,-92.60376,,,,
Maine,Orono Maine,Maine,ME,1904,2023,79,1876,820,1056,0.437,-12.19,-7.17,0,0,0,0,0,0,45.367584,-68.972168,,,,
Maryland-Eastern Shore,Princess Anne Maryland,Maryland,MD,1974,2023,43,1223,353,870,0.289,-19.66,-9.19,0,1,1,0,0,0,39.045753,-76.641273,,,,
Massachusetts-Lowell,Lowell Massachusetts,Massachusetts,MA,1906,2023,11,291,134,157,0.46,-8.33,-5.82,0,0,0,0,0,0,42.407211,-71.382439,,,,
Merchant Marine Mariners,King's Point New York,New York,NY,1946,1947,2,39,13,26,0.333,,,0,0,0,0,0,0,43,-75,,,,
Merrimack,North Andover Massachusetts,Massachusetts,MA,2020,2023,4,88,44,44,0.5,-11.17,-4.91,0,1,0,0,0,0,42.407211,-71.382439,,,,
Morris Brown Wolverines,Atlanta Georgia,Georgia,GA,2002,2003,2,57,13,44,0.228,-25.81,-6.02,0,0,0,0,0,0,33.247875,-83.441162,,,,
Muhlenberg Mules,Allentown Pennsylvania,Pennsylvania,PA,1901,1963,56,1064,579,484,0.545,-10.29,-4.31,0,3,0,0,0,0,41.203323,-77.194527,,,,
New Hampshire,Durham New Hampshire,New Hampshire,NH,1927,2023,71,1804,631,1173,0.35,-14.44,-7.04,0,1,0,0,0,0,44,-71.5,,,,
NJIT,Newark New Jersey,New Jersey,NJ,2010,2023,14,401,185,216,0.461,-10.23,-6.2,0,1,0,0,0,0,39.833851,-74.871826,,,,
North Alabama,Florence Alabama,Alabama,AL,2019,2023,5,125,50,75,0.4,-10.91,-4.64,0,0,0,0,0,0,32.31823,-86.902298,,,,
Northeastern Illinois Golden Eagles,Chicago Illinois,Illinois,IL,1991,1998,8,216,78,138,0.361,-14.9,-6.65,0,0,0,0,0,0,40,-89,,,,
Omaha,Omaha Nebraska,Nebraska,NE,2013,2023,11,315,135,180,0.429,-7.34,-1.7,0,0,0,0,0,0,41.5,-100,,,,
Presbyterian,Clinton South Carolina,South Carolina,SC,2011,2023,13,380,129,251,0.339,-13.53,-5.28,0,0,0,0,0,0,33.836082,-81.163727,,,,
Purdue-Fort Wayne,Fort Wayne Indiana,Indiana,IN,2003,2023,21,627,297,330,0.474,-6.23,-2.78,0,2,0,0,0,0,40.273502,-86.126976,,,,
Queens (NC),Charlotte North Carolina,North Carolina,NC,2023,2023,1,9,7,2,0.778,-1.07,-3.4,0,0,0,0,0,0,35.782169,-80.793457,,,,
Quinnipiac,Hamden Connecticut,Connecticut,CT,1999,2023,25,721,344,377,0.477,-7.8,-6.64,0,1,0,0,0,0,41.599998,-72.699997,,,,
Regis (CO) Rangers,Denver Colorado,Colorado,CO,1962,1964,3,66,37,29,0.561,-4.78,0.03,0,0,0,0,0,0,39.113014,-105.358887,,,,
Rochester (NY) Yellowjackets,Rochester New York,New York,NY,1910,1944,7,111,74,37,0.667,,,0,0,0,0,0,0,43,-75,,,,
Sacramento State,Sacramento California,California,CA,1992,2023,32,887,281,606,0.317,-11.88,-2.99,0,0,0,0,0,0,36.778259,-119.417931,,,,
Sacred Heart,Fairfield Connecticut,Connecticut,CT,2000,2023,24,687,268,419,0.39,-11.17,-7.13,0,0,0,0,0,0,41.599998,-72.699997,,,,
Savannah State Tigers,Savannah Georgia,Georgia,GA,2003,2019,17,513,189,324,0.368,-16.73,-5.37,0,2,0,0,0,0,33.247875,-83.441162,,,,
